locationname,locationaddress
Broadacres Park,115 Wareside Rd
Broadlands Park,19 Castlegrove Blvd
Broadview Subway Station Parkette,769 Broadview Ave
Brookbanks Park,75 Brookbanks Dr
Brookdale Park,410 Fairlawn Ave
Brookfield Parkette,27 Brookfield Rd
Brooks Road Park,51 Keeler Blvd
Brookwell Park,44 Streamdale Crt
Browns Line-Lakeshore Parkette,Browns Line
Bruce Mackey Park,55 Wardell St
Brunswick - College Parkette,15 Brunswick Ave
Budapest Park,1575 Lake Shore Blvd W
Budd Sugarman Park,955 Yonge St
Burnett Park,352 Burnett Ave
Burnhamill Park,379 Mill Rd
Burrows Hall Park,239 Burrows Hall Blvd
Buttonwood Park,30 Mulham Pl
Byng Park,299 Pharmacy Ave
Cairns Avenue Parkette,93 Cairns Ave
Caledonia Park,1141 Caledonia Rd
Camborne Parkette,110 Camborne Ave
Campbell Avenue Playground,225 Campbell Ave
Canadian Ukrainian Memorial Park,425 Scarlett Rd
Candlebrook Crescent Park,13 Candlebrook Cres
Canmore Park,101 Canmore Blvd
Canoe Landing,95 Fort York Blvd
Capri Park,596 The East Mall
Caribou Park,99 Caribou Rd
Carlaw Avenue Parkette,805 Carlaw Ave
Carlton Park,20 Edith Ave
Carney Park,17 Carney Rd
Carsbrooke Park,415 Renforth Dr
Carscadden Greenbelt,32 Carscadden Dr
Carstowe Road Lands,151 Carstowe Rd
Cartwright School Park,100 Bentworth Ave
Casa Loma Parkette,328 A Walmer Rd
Cashman Park,4 Langmuir Cres
Cassandra Park,230 Cassandra Blvd
Cassels Avenue Playground,69 Cassels Ave
Castlefield Parkette,621 Castlefield Ave
Caswell Park,18 Caswell Dr
Cataraqui Park,15 Firvalley Crt
Cathedral Bluffs Park,24 Lyme Regis Cres
Cawthra Playground,355 Albany Ave
Cayuga Park,120 Cayuga Ave
Cedar Brook Park,91 Eastpark Blvd
Cedar Ridge Park,225 Confederation Dr
Cedargrove Park,100 Farmbrook Rd
Cedarvale Park,443 Arlington Ave
Centennial Park - Etobicoke,256 Centennial Park Rd
Centennial Park - Scarborough,225 Centennial Rd
Centre Park,15 Centre Ave
Chalkfarm Park,2230 Jane St
Champlain Parkette,50 Champlain Blvd
Chandos Park North,75 Lightbourn Ave
Chandos Park South,19 Chandos Ave
Chaplin Parkette,310 Chaplin Cres
Chapman Valley Park,60 Chapman Rd
Charles Brereton Park,306 Oakwood Ave
Charles Caccia Park,348 Nairn Ave
Charles G. Williams Park,75 Wabash Ave
Charles Sauriol Conservation Area,1191 Lawrence Ave E
Charles Sauriol Parkette,4 Hillside Dr
Charles Street Parkette,83 Charles St E
Charlotte Maher Parkette,550 Roehampton Ave
Charlottetown Park,65 Charlottetown Blvd
Charlton Park,166 Charlton Blvd
Chartland Park,99 Chartland Blvd S
Chartwell Park,99 Kenhatch Blvd
Chater Court Park,1 Chater Crt
Chatsworth Ravine,900 Duplex Ave
Chauncey - Islington Parkette,1116 Islington Ave
Chelsea Avenue Playground,103 Chelsea Ave
Cheltenham Park,43 Mildenhall Rd
Cherry Beach Clarke Beach Park,1 Cherry St
Cherry Beach Sports Fields,275 Unwin Ave
Chester Le Park,255 Chester Le Blvd
Chesterton Shores Park,Chesterton Shores
Chestnut Hills Park,1391 Islington Ave
Chipping Park,35 Chipping Rd
Chorley Park,245 Douglas Dr
Christ The King Park,475 Rathburn Road
Christie Pits Park,750 Bloor St W
Churchill Heights Park,60 Mountland Dr
Clairlea Park,45 Fairfax Cres
Clanton Park,30 Palm Dr
Clarence Square Park,25 Clarence Sq
Clarinda Park,31 Clarinda Dr
Clement Road Parkette,Clement Rd
Cliff Lumsdon Park,101 Lake Shore Dr
Cliffside Ravine,10 Delano Pl
Cliffwood Park,280 Cliffwood Rd
Close - Springhurst Parkette,70 Close Ave
Close Avenue Parkette,116 Close Ave
Cloud Gardens,14 Temperance St
Clovercrest Parkette,23 Clovercrest Rd
Cloverdale Park,85 Shaver Ave S
Clydesdale Park,116 Clydesdale Dr
Cobble Hills Parkette,6 Cobble Hills
Coe Hill Drive Parkette,110 Coe Hill Dr
Coleman Park,19 Coleman Ave
College Park,420 Yonge St
Collingsbrook Parkette,136 Collingsbrook Blvd
Collingwood Park,30 Collingwood St
Colonel Danforth Park,73 Colonel Danforth Trl
Colonel Samuel Smith Park,3145 Lake Shore Blvd W
Colonial Park,150 Bridlegrove Dr
Colony Park,2100 Martin Grove Rd
Columbus Parkette,1985 Dundas St W
Commander Park,140 Commander Blvd
Conacher Park,645 Conacher Dr
Confederation Park,250 Dolly Varden Blvd
Conlands Parkette,7 Conland Ave
Connaught Circle Parkette,Connaught Cir
Connorvale Park,281 Rimilton Ave
Constable Percy Cummins Parkette,235 Connolly St
Corktown Common,155 Bayview Ave
Cornell Park,18 Beran Dr
Coronation Park - Etobicoke,10 Judson St
Coronation Park - Toronto,711 Lake Shore Blvd W
Coronation Park - York,2700 Eglinton Ave W
Cortleigh Parkette,375 Cortleigh Blvd
