locationname,locationaddress
Keelesdale South Park,95 Black Creek Dr
Kelsonia Parkette,167 Midland Ave
Kempford Parkette,15 Santa Barbara Rd
Kempton Howard Park,150 Blake St
Kenaston Gardens Parkette,12 Kenaston Gdns
Kenaston Park,573 Sheppard Ave E
Kennard Parkette,183 Kennard Ave
Kennedy - Lawrence Parkette,60 Mike Myers Dr
Kennedy - Margdon Parkette,24 Kennedy Park Rd
Kennedy Parkette,2799 Kennedy Rd
Kenneth Park,417 Kenneth Ave
Kenway Park,3431 Bloor St W
Kenworthy Park,2 A Kenworthy Ave
Kew Gardens,2075 Queen St E
Kidstown - Water Park,3159 Birchmount Rd
Kildonan Park,Glenn Morrow Mews
Kilgour Parkette,1 Kilgour Road
King Georges - Keele Parkette,King George's Dr
King's Mill Park,9 Catherine St
Kingsview Park,46 Kingsview Blvd
Kingsway Gate Parkette,2 The Kingsway
Kinsdale Park,3 Kinsdale Blvd
Kirkdene Park,100 Kirkdene Dr
Kirkwood Park,25 Kirkwood Rd
Kitchener Park,20 Lorraine Ave
Kiwanis Parkette,1410 Pape Ave
Knights Of Columbus Park,60 San Gabriele Pl
Knightswood Rd Park,40 Knightswood Rd
Knob Hill Park,625 Brimley Rd
Knott Park,1 A Deblyn Dr
Knottwood Park,40 Pogonia St
La Rose Park,65 La Rose Ave
Laburnham Park,100 Twenty Sixth St
Lake Crescent Park,55 Lake Cres
Lake Crescent Road End Parkette,2 Lake Cres
Lakeridge Parkette,46 Lakeridge Dr
Lakeshore Boulevard Parklands,1389 Lake Shore Blvd W
Lakeshore Village Park,46 Garnett Janes Rd
Lakeview Avenue Parkette,2 Lakeview Ave
Lambeth Crescent Parkette,27 Lambeth Cres
Lambton Park,4100 Dundas St W
Lambton Woods,1185 Royal York Rd
Lambton-Kingsway Park,37 Marquis Ave
L'Amoreaux North Park,1900 Mcnicoll Ave
L'Amoreaux Sports Complex,100 Silver Springs Blvd
Langdale Court Greenbelt,107 Driftwood Ave
Langford Parkette,26 Langford Ave
Langholm Park,14 Langholm Dr
Lanyard Park,138 Lanyard Rd
Laredo Park,33 Laredo Crt
Larratt Parkette,221 Forest Hill Rd
Larry Sefton Park,500 Bay St
Laughlin Park,420 Atlas Ave
Laura Ellis Park,30 Laura Ellis Crt
Laurentide Park,110 Laurentide Dr
Lavery Trail Park,40 Lavery Trl
Lawren Harris Park,145 Rosedale Valley Rd
Lawrence Heights Park,3 B Flemington Rd
Lawrence Park And Ravine,51 Alexander Muir Rd
Lawton Parkette,1600 Yonge St
Leaside Park,5 Leaside Park Dr
Leavenworth Parkette,Leavenworth Cres
Ledbury Park,160 Ledbury St
Lee Centre Park,112 Corporate Dr
Len Braithwaite Park,490 Silverstone Dr
Lenford Park,295 Lake Promenade
Leonard Linton Park,135 Vanderhoof Ave
Les Anthony Parkette,5 Dunkirk Rd
Lescon Park,39 Glentworth Rd
Leslie Grove Park,1158 Queen St E
Leslie Park,5200 Leslie St
Lessard Park,52 Lessard Ave
Leyton Tot Lot,100 Prairie Dr
Liberty Village Park,70 East Liberty St
Lillian H. Smith Park,180 Huron St
Lillian Park,227 Otonabee Ave
Lindylou Park,14 Lanyard Rd
Linkwood Lane Park,10 Linkwood Lane
Linkwood Lane Parkette,400 Linkwood Lane
Linus Park,125 Seneca Hill Dr
Lionel Conacher Park,80 Cottingham St
Lion's Gate Park,58 Waterford Dr
Lissom Park,338 Homewood Ave
Lithuania Park,155 Oakmount Rd
Little Norway Park,659 Queens Quay W
Little Trinity Church Lands,417 King St E
Little York Parkette,58 Norwood Ter
Littles Park,30 Littles Rd
Livingstone Park,21 Woodville Ave
Lloyd Manor Park,147 Lloyd Manor Rd
Lochleven Park,50 Lochleven Dr
Logan Avenue Parkette,916 Logan Ave
Long Branch Park,245 Lake Promenade
Long Branch Park & Cenotaph,23 Long Branch Ave
Longmore Park,196 Dunview Ave
Longwood Park,38 Longwood Dr
Lora Hill Park,36 Fernalroy Blvd
Lord Roberts Woods,155 Lord Roberts Dr
Lord Seaton Park,168 Upper Canada Dr
Loring - Wyle Parkette,276 St Clair Ave E
Lorraine Drive Park,29 Lorraine Dr
Louise Russo Park,42 Flindon Rd
Love Crescent Parkette,16 Love Cres
Lower Don Parklands,44 Beechwood Dr
Lucy Maud Montgomery Park,222 Riverside Dr
Lucy Tot Lot,2 Sneath Ave
Lusted Park,75 Painted Post Dr
Lynedock Park,29 Lynedock Cres
Lynmont Park,10 Four Leaf Dr
Lynndale Parkette,10 Lynndale Cres
Lynngate Park,133 Cass Ave
Lytton Park,200 Lytton Blvd
Maberley Parkette,76 Maberley Cres
Macgregor Playground,346 Lansdowne Ave
Macklin Hancock Park,990 Lawrence Ave E
Macpherson Avenue Parkette,205 Macpherson Ave
Madelaine Park,20 Madelaine Ave
Magwood Park,2 Pasadena Gdns
Maher Circle Parkette,Maher Ave
Maidavale Park,1031 Birchmount Rd
Main Sewage Treatment Playground,1091 Eastern Ave
Major Abbas Ali Park,180 Mclevin Ave
Mallaby Park,2394 Weston Rd
Mallory Green,33 Mallory Cres
Mallow Park,8 Mallow Rd
Malta Park,3179 Dundas St W
Malvern Park,36 Sewells Rd
Malvern Woods,7600 Sheppard Ave E
Manchester Park,75 Manchester St
Manhattan Park,90 Manhattan Dr
Manor Park,Parkway Forest Dr
Manse Road Park,440 Coronation Dr
Maple Claire Park,20 Viella St
Maple Leaf Forever Park,62 Laing St
Maple Leaf Park,320 Culford Rd
Maplehurst Park,296 Maplehurst Ave
Marble Hill Parkette,22 A Ennerdale Rd
Margaret Fairley Park,100 Brunswick Ave
Maria Street Parkette,270 Maria St
Marian Engel Park,285 Melita Ave
Marie Baldwin Park,746 Jane St
Marie Curtis Park,2 Forty Second St
Marilyn Bell Park,1095 Lake Shore Blvd W
Market Garden Mews,25 Market Garden Mews
Market Lane Park,149 King St E
Marlborough Place Parkette,100 Marlborough Ave
Martin Grove Gardens Park,31 Lavington Dr
Maryland Park,19 Maryland Blvd
Maryvale Park,5 Trestleside Grv
Masaryk Park,212 Cowan Ave
Mason Road Park,11 Stanland Dr
Massey Harris Park,945 King St W
Masseygrove Park,80 Kendleton Dr
Matt Cohen Park,725 Spadina Ave
Matty Eckler Playground,953 Gerrard St E
Maughan Crescent Parkette,37 Maughan Cres
Maureen Parkette,2 Maureen Dr
Maurice J. Breen Park,26 Forty Third St
Maxome Park,67 Maxome Ave
Maxwell Park,Dellbank Rd
Maywood Tot Lot,33 Maywood Pk
Mc Cleary Playground,80 Mc Gee St
McAllister Park,31 Mcallister Rd
McCaul - Orde Park,235 Mc Caul St
McCleary Park,755 Lake Shore Blvd E
McCormick Park,66 Sheridan Ave
McCowan District Park,150 Mccowan Rd
McCowan Park,475 Mccowan Rd
McDairmid Woods Park,51 Rubic Cres
McGill Parkette,415 Yonge St
McGregor Park,2231 Lawrence Ave E
McKee Parkette,21 Church Ave
McKenzie John Parkette,293 Doris Ave
McLevin Woods Park,375 Mclevin Ave
McNicoll Park,215 Mcnicoll Ave
Measurement Park,1167 Eastern Ave
Megan Park,4667 Kingston Rd
Mel Lastman Square,5100 Yonge St
Melbourne Avenue Parkette,7 Melbourne Ave
Memorial Park - North York,340 Chaplin Cres
Memorial Park - York,22 Little Ave
Merrill Bridge Road Park,1 East Lynn Ave
Merrill Park,5 Merrill Ave
Michael Power Park,5055 Dundas St W
Midvale Parkette,23 Midvale Rd
Mike Bela Park,1 Banbury Rd
Miles Road End Parkette,4 Miles Rd
Mill Valley Park,412 Mill Rd
Milliken District Park,5555 Steeles Ave E
Millstone Parkette,1 Plymbridge Rd
Millwood Park,222 Mill Rd
Milner Parkette,675 Church St
Mimico Memorial Park,75 Hillside Ave
Mimico Waterfront Park,29 Norris Cres
Misty Hills Park,57 Misty Hills Trl
Mitchell Field Park,89 Church Ave
Moatfield Farm Park,300 Lesmill Rd
Moccasin Trail Park,55 Green Belt Dr
Monarch Park,115 Felstead Ave
Moncur Playground,10 Gainsborough Rd
Mondeo Park,80 Mondeo Dr
Montclair Avenue Parkette,48 Montclair Ave
MOORE PARK - North York,110 Cactus Ave
Moore Park Ravine,205 Moore Ave
Mooregate Tot Lot,164 Treverton Dr
Moorevale Park,175 Moore Ave
Moreau Trail Park,35 Herron Ave
Morningside Park,390 Morningside Ave
Morse Street Playground,76 Morse St
Moss Park,150 Sherbourne St
Mossgrove Park,57 Mossgrove Trl
Mount Pleasant Parkette,441 Mount Pleasant Rd
Mount Royal Parkette,49 Mount Royal Ave
Mourning Dove Park,98 Mourning Dove Cres
Muir Park,66 Martindale Rd
Muirhead Park,65 Muirhead Rd
Muirlands Park,40 Muirlands Dr
Municipal Park,25 Ansell Ave
Murison Park,99 Murison Blvd
Natal Park,110 Natal Ave
Nathan Phillips Square,100 Queen St W
Neil McLellan Park,263 Beresford Ave
Neilson Park - Etobicoke,56 Neilson Dr
Neilson Park - Scarborough,1555 Neilson Rd
Nesbitt Park,69 Nesbitt Dr
Newgate Parkette,126 Elm Ridge Dr
Newton Parkette,293 Newton Dr
Newtonbrook Park,935 Willowdale Ave
Nicol Macnicol Parkette,1 Elm Ridge Cir
Nightstar Park,18 Nightstar Rd
Noble Park,70 Sandcliff Rd
Nordheimer Ravine,326 Spadina Rd
Norman Jewison Park,13 Isabella St
Norseman Heights Park,100 Chartwell Rd
North Agincourt Park,61 Moran Rd
North Bendale Park,40 Erinlea Cres
North Bridlewood Park,11 Adencliff Rd
North Humber Park,2851 Kipling Ave
North Kipling Park,2729 Kipling Ave
North Mimico Valley Park,48 Galaxy Blvd
North Park,587 Rustic Rd
Northend Parkette,2393 Weston Rd
Northern Linear Park,4 Blue Jays Way
Northtown Park,435 Doris Ave
Northumberland Playground,770 Ossington Ave
Northwood Park,140 Stilecroft Dr
Norwood Park,16 Norwood Rd
Oak Street Park,165 River St
Oakcrest Parkette,30 Oakcrest Ave
Oakdale Park,350 Grandravine Dr
Oakdale Village Park,95 Fred Young Dr
Oakridge Park,3459 Danforth Ave
Oates Park,10 Oates Dr
Old Forest Hill Parkette,51 Old Forest Hill Rd
Old Mill Parkette,5 Old Mill Rd
Old Mill Site Park,5 Catherine St
Old Orchard Park,465 Old Orchard Grv
Old Sheppard Park,101 Old Sheppard Ave
Old Yonge Parkette,143 Old Yonge St
Olive Square Park,5575 Yonge St
Olympia Park,50 Olympia Dr
Olympic Park,222 Bremner Blvd
Ontario Street Parkette,227 Ontario St
Opera Place,25 Breadalbane St
Orchard Park,1987 Dundas St E
Oriole Park - North York,2955 Don Mills Rd
Oriole Park - Toronto,201 Oriole Pkwy
Ormskirk Park,33 Ormskirk Crt
O'Shea Walkway,36 O'shea Cres
Osler Playground,123 Argyle St
Ourland Park,18 Ourland Ave
Owen Park,150 Gordon Rd
Page Parkette,23 Valliere Pl
Palace Pier Park,1 Palace Pier Crt
Panorama Park,11 Farr Ave
Pantry Park,70 Kewbeach Ave
Paperbirch Walkway,48 A Paperbirch Dr
Park Lawn Park,330 Park Lawn Rd
Parkview Gardens Parkette,34 Parkview Gdns
Parkview Park,355 Parkview Ave
Parkway Forest Park,80 Parkway Forest Dr
Parliament Square Park,44 Parliament St
Parma Park,99 Parma Crt
Paul Garfinkel Parkette,1071 Queen St W
Paul Kane House Parkette,56 Wellesley St E
Paul Martel Park,10 Madison Ave
Pearen Park,30 Pearen St
Pelham Avenue Playground,20 Pelham Ave
Pellatt Parkette,325 Pellatt Ave
Pelmo Park,171 Pellatt Ave
Pemberton Parkette,89 Pemberton Ave
Percy Park,12 Percy St
Perth Avenue Parkette,160 Perth Ave
Perth Square Park,350 Perth Ave
Peter Secor Park,235 Coronation Dr
Peter Street Basin Park,370 Queens Quay W
Phin Avenue Parkette,115 Condor Ave
Picasso Park,9 Picasso Rd
Pine Point Park,4 Conan Rd
Pinery Park,78 Pinery Trl
Pinetree Park,55 Applemore Rd
Pineway Park,110 Pineway Blvd
Pinto Park,21 Pinto Dr
Playter Gardens,4 Cambridge Ave
Pleasantview Park,61 Pleasant View Dr
Plowshare Park,54 Plowshare Cres
Plunkett Park,188 Plunkett Rd
Point Rouge Trail Park,200 Staines Rd
Poplar Park,40 Wooster Wood
Poplar Plains Parkette,125 Boulton Dr
Port Royal Park,50 Port Royal Trl
Port Union Village Common Park,105 Bridgend St
Port Union Waterfront Park,169 Chesterton Shores
Portage Gardens Park,400 Sidney Belsey Cres
Pottery Playground,601 Merton St
Prairie Drive Park,70 Prairie Dr
Prescott Parkette,20 Prescott Ave
Pricefield Road Playground,50 Pricefield Rd
Primrose Avenue Parkette,120 Primrose Ave
Primula Parkette,86 Primula Cres
Prince Charles Park,36 Prince Charles Dr
Prince Edward Viaduct Parkette,725 Bloor St E
Prince Of Wales Park,1 Third St
Princess Anne Park,18 Prince George Dr
Princess Margaret Park,1297 Kipling Ave
Princess Park,214 Doris Ave
Princess Street Park,18 A Princess St
Pringdale Ravine (Pringdale Dream Parkette),141 Thicketwood Dr
Progress Avenue Park,705 Progress Ave
Queens Avenue Parkette,94 Superior Ave
Queen's Greenbelt,600 Queen's Dr
Queen's Park,110 Wellesley St W
Queensland Park,35 Nordin Ave
Queensway Park,8 Avon Park Dr
R.V. Burgess Park,46 Thorncliffe Park Dr
Rainbow Park,182 Rory Rd
Rajah Park,117 Rajah St
Ramsden Park,1020 Yonge St
Ranchdale Park,44 Ranchdale Cres
Randy Padmore Park,47 Denison Ave
Ranee Park,326 Ranee Ave
Ravenscrest Park,305 Martin Grove Rd
Ravina Gardens,290 Clendenan Ave
Raymore Park,95 Raymore Dr
Reading Sprouts Garden,77 Whitbread Cres
Rean Park,7 Rean Dr
Redbank Greenbelt,99 Culford Rd
Redgrave Park,48 Redgrave Dr
Redpath Avenue Parkette,130 Erskine Ave
Rees Street Park,238 Queens Quay W
Regan Park,9310 Sheppard Ave E
Regent Park,600 Dundas St E
Regent Park - Etobicoke,75 Regent St
Regent Park Boulevard Park,81 Regent Park Blvd
Regent Park North,620 Dundas St E
Regent Park South Ice Rink,480 Shuter St
Regents Park,115 Westbourne Ave
Reid Manor Park,65 Reid Manor
Remberto Navia Sport Fields,65 Norfinch Dr
Rennie Park,1 Rennie Ter
Rexdale Park,6 Drumheller Rd
Rexlington Park,30 Bergamot Ave
Ricardo Parkette,180 Maple Leaf Dr
Richmond Park,75 Richmond Park Blvd
Richview Park,59 Clement Rd
Ridge Park,85 Ridge Rd
Ridgewood Parkette,24 Ridgewood Rd
Ring Road Linear Park,139 Doris Ave
Rippleton Park,45 Banbury Rd
Rita Cox Park,14 Machells Ave
Ritchie Avenue Parkette,77 Ritchie Ave
Riverdale Park East,550 Broadview Ave
Riverdale Park West,375 Sumach St
Riverlea Park,919 Scarlett Rd
Riverside Drive Parkette,38 South Kingsway
Robert Bateman Parkette,281 Chaplin Cres
Robert Hicks Park,39 Robert Hicks Dr
Robert Leek Park,3 Hanover Rd
Robert Street Playground,60 Sussex Ave
Robertson Davies Park,275 Avenue Rd
Robertson Parkette,1555 Danforth Ave
Rockford Park,70 Rockford Rd
Roding Park,600 Roding St
Ron Watson Park,140 Bonis Ave
Rosa And Spencer Clarke Parkette,61 Guildwood Pkwy
Rose Valley Park,70 Black Creek Blvd
Rosebank Park,1051 Progress Ave
Rosedale Park,20 Scholfield Ave
Rosemary Parkette,225 Rosemary Rd
Rosemount Gardens Parkette,255 Queenslea Ave
Roseneath Park,15 Glenhurst Ave
Rosethorn Park,26 Remington Dr
Rosetta McClain Gardens,5 Glen Everest Rd
Rotary Peace Park,25 Eleventh St
Rouge Neighbourhood Park,196 Dean Park Rd
Rouge Park,50 Twyn Rivers Dr
Rouge Park - Rouge Beach Park,195 Rouge Hills Dr
Roundhouse Park,255 Bremner Blvd
Rowatson Park,37 Rowatson Rd
Rowena Park,75 Rowena Dr
Rowntree Mills Park,155 Rowntree Mill Rd
Roxborough Parkette,30 Roxborough Dr
Roxton Road Parkette,45 Roxton Rd
Royal Crest Park,50 Cabernet Cir
Royal Rouge Tot Lot,45 Royal Rouge Trl
Roycroft Park Lands,150 Boulton Dr
Roywood Park,2 Roywood Dr
Ruddington Park,75 Ruddington Dr
Runnymede Park,221 Ryding Ave
Rustic Park,35 Raven Rd
Ryerson Community Park,50 Gould St
S.A.D.R.A. Park,455 Old Weston Rd
Sackville Playground,420 King St E
Saddletree Park,50 Saddletree Dr
Sadler Parkette,5 Sadler Dr
Salem Parkette,9 Salem Ave
Sally Bird Park,194 Brunswick Ave
Sand Beach Road Parkette,2 Sand Beach Rd
Sandover Park,10 Sandover Dr
Sandown Park,50 Natal Ave
Sandra - St Clair Parkette,4 Sandra Rd
Sandy Bruce Park,426 Moore Ave
Sanwood Park,20 Sanwood Blvd
Saulter Street Parkette,25 Saulter St
Saunders Crescent Parkette,620 Royal York Rd
Sawley Banstock Greenbelt,6 Banstock Dr
Scarborough Bluffs Park,61 Undercliff Dr
Scarborough Heights Park,27 Fishleigh Dr
Scarborough Village Park,23 Gatesview Ave
Scarden Park,1649 Warden Ave
Scarlett - St. Clair Parkette,St Clair Ave W
Scarlett Bridge Parkette,Scarlett Rd
Scarlett Heights Park,24 Fontenay Crt
Scarlett Mills Park,235 Edenbridge Dr
Scarlett Woods Golf Course,1000 Jane St
Scotia Parkette,3 Medford Ave
Seasons Park,40 Seasons Dr
Seaton Park,14 Albany Ave
Secor Memorial Park,469 Markham Rd
Seeley Greenbelt,23 Seeley Dr
Senator Peter Bosa Parkette,725 Vaughan Rd
Seneca Hill Park,620 Seneca Hill Dr
Seneca Village Park,1700 Finch Ave E
Sentinel Park,295 Sentinel Rd
Serena Gundy Park,134 Rykert Cres
Sergeant Ryan Russell Parkette,250 Avenue Rd
Seven Oaks Park,372 Military Trl
Severn Creek Park,8 R Cluny Dr
Seville Avenue Parkette,246 The West Mall
Shallmar Parkette,13 Shallmar Blvd
"Shawn ""Blu"" Rose Park",30 Empringham Dr
Shawnee Park,81 Shawnee Cir
Sheppard East Park,229 Glendora Ave
Shepton Way Park,115 Sanwood Blvd
Sherbourne Common,5 Lower Sherbourne St
Sherwood Park,190 Sherwood Ave
Shoreham Park,2 Shoreham Crt
Silver Creek Park,44 Strathdee Dr
Silverhill Park,70 Silverhill Dr
Silverstone Park,160 Silverstone Dr
Silverview Park,23 Silverview Dr
Silvio Colella Park,20 Laura Rd
Simcoe Park,255 Wellington St
Sir Adam Beck Park,55 Eltham Dr
Sir Casimir Gzowski Park,2001 Lake Shore Blvd W
Sir Winston Churchill Park,301 St Clair Ave W
Sisken Trail Park,157 Staines Rd
Six Points Park,10 Viking Lane
Sixth Street Park,270 Sixth St
Skeens Lane Parkette,8 Twenty Ninth St
Skymark Park,3500 Don Mills Rd
Smithfield Park,173 Mount Olive Dr
Smithwood Park,79 Smithwood Dr
Smythe Park,61 Black Creek Blvd
Snider Parkette,2 Lytton Blvd
Snowhill Park,15 Snowhill Cres
Sonya's Parkette,63 Oxford St
Sorauren Avenue Park,289 Sorauren Ave
South Humber Park,120 The Queensway
South Kingsway Parkette,150 South Kingsway
South Marine Drive Park,5 Rogate Pl
Southern Linear Park,350 Lake Shore Blvd W
Southwell Park,25 Southwell Dr
Spadina Park,486 Davenport Rd
Spadina Quay Wetlands,441 Queens Quay W
Spadina Road Park,322 Spadina Rd
Spencer - Cowan Parkette,80 Spencer Ave
Spenvalley Park,130 Spenvalley Dr
Spinney Greenbelt,10 Spinney Crt
Spring Garden Park,32 Meadow Crest Rd
Spring Garden Parkette,Spring Garden Ave
Springhurst Parkette,Springhurst Ave
St. Alban's Square,90 Howland Ave
St. Andrews Park - North York,11 Knollwood St
St. Andrews Park - Scarborough,50 Brimorton Dr
St. Andrew's Playground,450 Adelaide St W
St. Clair Gardens,3 Prescott Ave
St. Clements - Yonge Parkette,14 St Clements Ave
St. Hilda's Parkette,1817 Eglinton Ave W
St. James Park,120 King St E
St. Jamestown West Park,589 Sherbourne St
St. Lucie Park,3300 Weston Rd
St. Margarets Parkette,4138 Lawrence Ave E
St. Mary Street Parkette,26 St Mary St
St. Patricks Square,14 St Patricks Sq
St. Phillips Road Parkette,98 Dixon Rd
St. Stevens Court Parkette,2 St Stevens Crt
Stadium Road Park,10 Stadium Rd
Stafford Park,100 Stafford Rd
Staines Parkette,230 Staines Rd
Stan Wadlow Park,888 Cosburn Ave
Stanley Avenue Park,55 Station Rd
Stanley G. Grizzle Park,21 Chisholm Ave
Stanley Park,27 Stanley Rd
Stanley Park North - Toronto,890 King St W
Stanley Park South - Toronto,700 Wellington St W
Starry Park,505 Staines Rd
Stephen Leacock Park,2530 Birchmount Rd
Stephenson Park,61 Stephenson Ave
Stewart A. McGregor Parkette,85 Mason Blvd
Stonehouse Park,671 Martin Grove Rd
Stratford Park,2100 Bayview Ave
Strathburn Park,55 Strathburn Blvd
Stuart Greenbelt,15 Stuart Ave
Sugar Beach Park,11 Dockside Dr
Sumach - Shuter Parkette,485 Shuter St
Summerlea Park,2 Arcot Blvd
Sunfield Park,139 Sunfield Rd
Sunnybrook Park,1132 Leslie St
Sunnybrook Parkette,25 Sunnybrook Rd
Sunnydale Acres Park,50 Amoro Dr
Sunnydene Park,1958 Bayview Ave
Sunnylea Park,195 Prince Edward Dr S
Sunnypoint - Neilson Park,55 Sunnypoint Cres
Sunnyside Bike Park,3 Ellis Ave
Sunnyside Park,1755 Lake Shore Blvd W
Superior Park,1 Y Superior Ave
Susan Tibaldi Parkette,620 Brock Ave
Suydam Park,22 Relmar Rd
Sweeney Park,110 Sweeney Dr
Sylvan Park - Gates Gully,55 Sylvan Ave
Symes - Viella Parkette,66 Symes Rd
Symington Avenue Playground,431 Perth Ave
Tabor Hill Memorial Park,525 Bellamy Rd N
Taddle Creek Park,40 Bedford Rd
Talara Park,35 Talara Dr
Tallpines Park,64 Rylander Blvd
Talwood Park,36 Talwood Dr
Tam Heather Country Club Grounds,50 Bonspiel Dr
Tam O'Shanter Golf Course,2481 Birchmount Rd
Tamarisk Park,47 Kiskadee Dr
Tanis Cres Woodlot,30 Tanis Cres
Tapscott Woodlot,271 Tapscott Rd
Taylor Creek Park,260 Dawes Rd
Telfer Park,71 Pinery Trl
Terraview Park,1625 Pharmacy Ave
Terry Fox Park,300 Bamburgh Cir
Thackeray Park,2955 Kipling Ave
The Elms Park,25 Auburndale Crt
The Gore,701 Fleet St
The Mission Ground Parkette,399 Merton St
The Rail Garden,450 Woodfield Rd
The Tollkeeper's Park,750 Davenport Rd
Thirty-Eighth Street Park,351 Lake Promenade
Thistletown Park,1265 Albion Rd
Thompson Street Parkette,120 Broadview Ave
Thomson Memorial Park,1005 Brimley Rd
Thorogood Gardens,53 Allen Ave
Three Valleys Park,82 Three Valleys Dr
Tichester Park,21 Tichester Rd
Timberbank Park,240 Timberbank Blvd
Tiverton Avenue Parkette,45 Tiverton Ave
Todmorden Mills Park,67 Pottery Rd
Tom Riley Park,4725 Dundas St W
Tommy Thompson Park,1 Leslie St
Topcliff Park,75 Topcliff Ave
Topham Park,181 Westview Blvd
Toronto Inukshuk Park,789 Lake Shore Blvd W
Toronto Islands - Algonquin Island Park,9 Queens Quay W
Toronto Islands - Centre Island Park,9 Queens Quay W
Toronto Islands - Hanlan's Point Park,9 Queens Quay W
Toronto Islands - Island Park,9 Queens Quay W
Toronto Islands - Olympic Island Park,9 Queens Quay W
Toronto Islands - Ward's Island Park,1 Centre Island Pk
Toronto Music Garden,479 Queens Quay W
Toronto Sculpture Garden,115 King St E
Toronto Waterfront Park,Robertson Cres
Tottenham Parkette,16 Tottenham Rd
Totts Tot Lot,2 Gradwell Dr
Touraine Parkette,12 Touraine Ave
Tournament Park,40 Tournament Dr
Town Hall Square,20 Yorkville Ave
Trace Manes Park,110 Rumsey Rd
Traymore Park,5 Traymore Cres
Trethewey Park East,121 Trethewey Dr
Trethewey Park West,665 Trethewey Dr
Treverton Park,20 A Oakworth Cres
Trinity Bellwoods Park,790 Queen St W
Trinity Square,19 Trinity Sq
Triple Crown Parkette,93 D Triple Crown Ave
Trudelle Park,36 Trudelle St
Trudelle Street Park,55 Trudelle St
True Davidson Park,160 Memorial Park Ave
Trumpeter Park,46 Trumpeter St
Turnberry North Park,44 Algarve Cres
Turnberry South Park,31 Alentejo St
Turpin Avenue Park,12 Turpin Ave
Twelfth Street Parkette,1 Twelfth St
Twenty Eighth Street Park,123 Lake Promenade
Twenty Fifth Street Parkette,41 Lake Promenade
Twenty Third Street Parkette,1 A Lake Promenade
Underhill Park,25 Cassandra Blvd
Underpass Park,33 St Lawrence St
Upper Junction Park,85 Birdstone Cres
Upper Rouge Trail Park,124 Upper Rouge Trl
Upwood Greenbelt,44 Marshlynn Ave
Valecrest Park,125 Valecrest Dr
Valleyfield Park,35 The Westway
Van Horne Park,561 Van Horne Ave
Varna Park,215 Ranee Ave
Vermont Square,819 Palmerston Ave
Verobeach Parkette,135 Verobeach Blvd
Vesta Parkette,41 Vesta Dr
Victoria Memorial Square Park,10 Niagara St
Victoria Prk - Eglinton Parkette,1501 Victoria Park Ave
Viewmount Park,169 Viewmount Ave
Village Green Park,925 Albion Rd
Village Of Yorkville Park,115 Cumberland St
Villaways Park,41 Adra Villaway
Vimy Ridge Parkette,2546 Lake Shore Blvd W
Vine Avenue Playground,200 Vine Ave
Vradenberg Park,40 Vradenberg Dr
Vyner Greenbelt,16 Vyner Rd
Wadsworth Park,120 Connolly St
Wallace C. Swanek Park,241 Gary Dr
Wallace Emerson Park,1260 Dufferin St
Walmer Rd Parkette,227 Walmer Rd
Walter Saunders Memorial Park,440 Hopewell Ave
Wanita Park,5 Meadowvale Rd
Wanless Park,250 Wanless Ave
Warden Park,2851 Warden Ave
Warden Woods,74 Firvalley Crt
Warner Park,75 Warner Ave
Warrender Park,63 Warrender Ave
Water's Edge Promenade,115 Queens Quay E
Wayne Parkette,50 Wayne Ave
Wedgewood Park - Etobicoke,15 Swan Ave
Wedgewood Park - North York,145 Wedgewood Dr
Wellesley - Magill Park,125 Homewood Ave
Wellesley Park,500 Wellesley St E
Wellesworth Park,55 Dixfield Dr
Wells Hill Park,145 Hilton Ave
Wembley Parkette,9 Old Park Rd
Wenderly Park,89 Wenderly Dr
West Birkdale Park,514 Midwest Rd
West Deane Park,19 Sedgebrook Cres
West Don Parkland,165 Maxwell St
West Hill Park,170 Weir Cres
West Humber Parkland,447 Albion Rd
West Lodge Park,165 Lansdowne Ave
West Rouge Park,270 Rouge Hills Dr
Westgrove Park,15 Redgrave Dr
Westlake Park,86 Jasper Ave
Westmoreland Avenue Parkette,11 Westmoreland Ave
Westmount Park,22 Arcade Dr
Weston Lions Park,2125 Lawrence Ave W
Weston Village Park,99 West Oak Cres
Weston Village Parkette,7 Meadow Oak Pl
Westway Park,175 The Westway
Westwood Park,994 Carlaw Ave
Wexford Park,55 Elm Bank Rd
White Haven Park,63 Invergordon Ave
Whitehall Parkette,2 Whitehall Rd
Whitfield Parkette,2990 Islington Ave
Whitney Park,149 Roxborough Dr
Wickson Trail Park,30 Silverbell Grv
Widdicombe Hill Park,31 Widdicombe Hill
Wigmore Park,106 Wigmore Dr
Wildwood Crescent Playground,110 Wildwood Cres
Wilket Creek Park,1100 Leslie St
Willard Gardens Parkette,55 Mayfield Ave
Willesden Park,88 Willesden Rd
William Hancox Parkette,45 William Hancox Ave
Williamson Park Ravine,1680 Gerrard St E
Willis Blair Parkette,1570 O'Connor Dr
Willowdale Park,75 Hollywood Ave
Willowfield Gardens Park,97 Pachino Blvd
Willowridge Park,10 Earldown Dr
Wilson Heights Park,325 Wilson Heights Blvd
Wilson Heights Parkette,576 Wilson Heights Blvd
Wimbleton Road North Parkette,160 Wimbleton Rd
Wimbleton Road South Parkette,60 Wimbleton Rd
Winchester Park,530 Ontario St
Winchester Square Park,474 Ontario St
Wincott Park,86 Northcrest Rd
